vidid,adview,views,likes,dislikes,comment,published,duration,category
VID_16192,1,172599.0,162.0,61.0,35.0,2015-05-11,PT1H32M29S,E
VID_22905,1,793069.0,2638.0,163.0,135.0,2015-07-11,PT14M26S,G
VID_10262,4,462.0,1.0,0.0,0.0,2016-09-20,PT31S,D
VID_8149,1,15882.0,102.0,1.0,41.0,2010-12-22,PT13M26S,D
VID_3717,1,797861.0,2117.0,225.0,170.0,2015-08-02,PT28M24S,D
VID_19569,1,5503.0,6.0,2.0,1.0,2013-06-17,PT4M6S,G
VID_14230,1,19213.0,78.0,5.0,0.0,2016-09-02,PT2M28S,D
VID_3128,4,165497.0,215.0,62.0,153.0,2013-01-19,PT38M35S,D
VID_7603,1,212195.0,561.0,61.0,192.0,2016-05-20,PT10M22S,D
VID_10211,4,805.0,6.0,0.0,0.0,2016-06-04,PT20S,D
VID_6754,5,89443.0,84.0,26.0,4.0,2014-04-21,PT11M53S,D
VID_20229,2,56573.0,228.0,5.0,16.0,2013-09-07,PT2M33S,G
VID_11412,61,367301.0,204.0,80.0,4.0,2014-12-13,PT5M28S,D
VID_19057,1619,1389401.0,13224.0,831.0,522.0,2013-10-17,PT2M16S,F
VID_20348,1,7702.0,23.0,0.0,1.0,2014-11-15,PT2M20S,G
VID_13329,1,101581.0,314.0,11.0,4.0,2015-11-30,PT47S,D
VID_11822,182,581.0,7.0,0.0,1.0,2014-01-26,PT1M26S,D
VID_1860,5,1515742.0,14551.0,514.0,5752.0,2016-03-09,PT5M53S,B
VID_9046,36,11991184.0,48324.0,5808.0,5167.0,2014-09-12,PT44M24S,D
VID_5013,3,1275680.0,4743.0,932.0,184.0,2016-03-11,PT4M35S,D
VID_18520,3,127821.0,1127.0,80.0,466.0,2016-07-11,PT11M51S,F
VID_22196,1,7779.0,59.0,0.0,7.0,2016-06-25,PT4M21S,G
VID_5300,11,415699.0,251.0,49.0,23.0,2012-05-14,PT1M29S,D
VID_2409,1,162390.0,1031.0,34.0,33.0,2015-09-17,PT20M41S,C
VID_4218,7,683587.0,1172.0,122.0,85.0,2013-05-28,PT19M40S,D
VID_16862,2,38570.0,55.0,6.0,11.0,2011-06-14,PT11M3S,E
VID_20426,2,503532.0,1872.0,50.0,85.0,2012-03-20,PT4M27S,G
VID_6516,1,52039.0,240.0,16.0,145.0,2016-06-28,PT10M2S,D
VID_2684,16,5863262.0,10238.0,2541.0,611.0,2015-08-21,PT2M47S,C
VID_14599,3,981761.0,2414.0,267.0,217.0,2016-05-16,PT4M17S,D
VID_22976,1,31339.0,142.0,11.0,16.0,2009-10-14,PT2M45S,G
VID_12597,1,18222.0,51.0,6.0,30.0,2014-02-16,PT4M18S,D
VID_4757,1,21772.0,37.0,3.0,3.0,2016-02-19,PT2H20M2S,D
VID_8776,4,15345.0,9.0,8.0,0.0,2013-12-03,PT4M26S,D
VID_12099,1,81993.0,882.0,21.0,227.0,2012-12-23,PT5M59S,D
VID_9658,3,293365.0,126.0,36.0,7.0,2012-01-18,PT3M39S,D
VID_14702,1,1939.0,36.0,0.0,16.0,2014-10-30,PT6M19S,D
VID_9950,1,23692.0,178.0,6.0,19.0,2015-07-12,PT4M24S,D
VID_20556,2,970875.0,4982.0,235.0,256.0,2015-02-16,PT5M44S,G
VID_20379,2,11703.0,217.0,13.0,6.0,2016-09-23,PT5M36S,G
VID_10035,1,167645.0,154.0,52.0,81.0,2016-04-15,PT54S,D
VID_11154,1,7759.0,34.0,4.0,18.0,2013-11-11,PT13M16S,D
VID_14269,2,775.0,7.0,0.0,1.0,2016-08-24,PT8M31S,D
VID_3765,69,3423094.0,1195.0,624.0,26.0,2012-09-01,PT2M43S,D
VID_20711,5,21512.0,203.0,12.0,61.0,2013-05-28,PT9M29S,G
VID_10111,1,123061.0,140.0,42.0,20.0,2016-09-28,PT10M1S,D
VID_244,2,25680.0,20.0,6.0,1.0,2012-08-31,PT3M35S,A
VID_15367,2,635882.0,1048.0,126.0,589.0,2016-03-02,PT6M57S,E
VID_14900,2,578880.0,1434.0,205.0,173.0,2016-06-05,PT8M28S,D
VID_11543,1,141023.0,154.0,44.0,16.0,2014-12-07,PT4M35S,D
VID_5048,1,1208415.0,2082.0,202.0,120.0,2010-11-10,PT2M41S,D
VID_16781,1,5993.0,11.0,2.0,1.0,2015-09-21,PT40S,E
VID_10543,6,1908671.0,675.0,448.0,71.0,2016-09-13,PT1M55S,D
VID_21411,124,609442.0,6698.0,349.0,724.0,2016-01-31,PT4M11S,G
VID_21565,1,569870.0,730.0,63.0,69.0,2011-06-24,PT4M10S,G
VID_4509,11,335120.0,327.0,125.0,28.0,2016-08-20,PT1M16S,D
VID_10868,3291,4351.0,56.0,1.0,18.0,2017-03-22,PT3M13S,D
VID_4508,1,424331.0,166.0,80.0,6.0,2016-07-14,PT1M36S,D
VID_15232,1,845994.0,4212.0,251.0,736.0,2015-07-15,PT3M4S,E
VID_21414,19,598434.0,4851.0,1170.0,1243.0,2012-09-21,PT5M46S,G
VID_996,4,184429.0,1136.0,175.0,625.0,2016-09-30,PT7M15S,B
VID_6494,1,321059.0,1373.0,119.0,544.0,2016-09-16,PT6M35S,D
VID_20724,1,4609.0,67.0,7.0,60.0,2013-12-15,PT5M12S,G
VID_1425,10,2911207.0,18658.0,384.0,2599.0,2016-07-09,PT7M29S,B
VID_10064,14,845625.0,652.0,197.0,71.0,2016-07-09,PT2M7S,D
VID_14226,1,6487.0,23.0,1.0,0.0,2013-12-06,PT4M10S,D
VID_15797,1,3793.0,2.0,3.0,0.0,2013-12-11,PT15M2S,E
VID_3472,8,599143.0,1682.0,119.0,55.0,2012-03-21,PT9M33S,D
VID_1648,2,13259.0,92.0,10.0,8.0,2013-09-09,PT8M11S,B
VID_9503,1,141.0,0.0,0.0,0.0,2016-08-26,PT31S,D
VID_8602,37895,63164.0,60.0,5.0,7.0,2016-10-21,PT3M3S,D
VID_8982,4,542073.0,2043.0,138.0,459.0,2015-01-24,PT1M27S,D
VID_14355,1,525236.0,7064.0,95.0,460.0,2016-06-23,PT12M57S,D
VID_17457,2,11909.0,40.0,1.0,2.0,2011-12-04,PT1M5S,E
VID_11597,1,279067.0,1610.0,203.0,1823.0,2016-08-03,PT25M15S,D
VID_1682,2,194540.0,2106.0,242.0,254.0,2016-08-15,PT2M19S,B
VID_23459,1,57917.0,461.0,11.0,10.0,2014-07-04,PT14M43S,H
VID_16568,1,118990.0,195.0,11.0,14.0,2015-10-21,PT1M52S,E
VID_14937,1,10168.0,88.0,2.0,11.0,2016-05-19,PT5M26S,D
VID_15574,1,17530.0,95.0,5.0,11.0,2016-09-23,PT2M25S,E
VID_13185,372,40222.0,60.0,48.0,11.0,2015-08-17,PT1M8S,D
VID_5985,1,236928.0,281.0,37.0,6.0,2016-02-26,PT2M43S,D
VID_14832,1909,2019.0,4.0,0.0,3.0,2017-02-07,PT6M25S,D
VID_1292,1,610698.0,10095.0,183.0,646.0,2014-03-15,PT5M17S,B
VID_11830,2,52837.0,989.0,15.0,53.0,2016-11-03,PT6M56S,D
VID_4775,1,113011.0,158.0,37.0,24.0,2015-09-02,PT2M1S,D
VID_13433,68944,187968.0,2972.0,185.0,564.0,2016-12-20,PT5M40S,D
VID_2766,3,318644.0,592.0,118.0,76.0,2012-07-11,PT11M31S,C
VID_20419,4,2704332.0,3772.0,192.0,316.0,2009-06-18,PT7M38S,G
VID_11185,1,5934.0,27.0,0.0,8.0,2013-11-01,PT9M5S,D
VID_19383,1,54161.0,219.0,6.0,11.0,2013-07-11,PT5M9S,G
VID_21613,3801,11097.0,58.0,3.0,7.0,2015-06-22,PT3M47S,G
VID_302,1,269247.0,8142.0,134.0,744.0,2016-09-22,PT37M41S,A
VID_21309,2,66892.0,232.0,8.0,125.0,2009-07-19,PT9M26S,G
VID_552,20,144107.0,450.0,11.0,36.0,2014-02-06,PT11M32S,B
VID_16480,1,8413.0,70.0,3.0,1.0,2016-12-24,PT1M1S,E
VID_21170,1,2721169.0,15452.0,401.0,564.0,2016-12-01,PT4M14S,G
VID_13678,1,61779.0,194.0,7.0,33.0,2016-09-20,PT12M31S,D
VID_18469,2633,3698.0,8.0,1.0,0.0,2014-06-02,PT3M15S,F
VID_21103,1,1717192.0,6180.0,176.0,481.0,2016-06-17,PT2M37S,G
VID_22641,1,817940.0,3692.0,74.0,263.0,2014-09-03,PT5M45S,G
VID_7134,1,427942.0,1244.0,47.0,114.0,2015-02-02,PT3M37S,D
VID_11160,2,11304.0,56.0,3.0,8.0,2013-11-11,PT11M37S,D
VID_8978,12,569363.0,3253.0,398.0,923.0,2015-09-20,PT1M57S,D
VID_19297,7,755505.0,1869.0,515.0,214.0,2016-01-16,PT34M57S,G
VID_4955,2,166099.0,189.0,54.0,20.0,2015-05-22,PT2H30M59S,D
VID_9749,4853,6423.0,7.0,2.0,0.0,2015-09-22,PT2M9S,D
VID_5857,1,413720.0,2381.0,65.0,489.0,2016-07-10,PT5M19S,D
VID_16313,1,1350.0,1.0,0.0,0.0,2015-06-03,PT6S,E
VID_15260,6,292248.0,901.0,42.0,66.0,2014-12-09,PT2M59S,E
VID_17272,27,3475658.0,3593.0,1168.0,210.0,2015-04-13,PT1H1M47S,E
VID_17996,2,487233.0,2645.0,439.0,835.0,2015-05-10,PT2M53S,F
VID_11925,8,162216.0,1005.0,25.0,37.0,2016-06-20,PT2M49S,D
VID_4833,2,2257.0,2.0,0.0,0.0,2013-10-14,PT8M19S,D
VID_14343,3,849510.0,8176.0,1230.0,2190.0,2012-01-07,PT1M59S,D
VID_10094,1,44545.0,62.0,17.0,15.0,2016-09-13,PT11M41S,D
VID_21638,2,236444.0,1037.0,92.0,61.0,2015-04-16,PT45M47S,G
VID_3055,1,146078.0,510.0,31.0,29.0,2014-12-06,PT54M50S,C
VID_5664,1,68763.0,75.0,29.0,1.0,2014-08-05,PT28M35S,D
VID_1448,2,2353030.0,26642.0,276.0,4564.0,2016-03-16,PT9M42S,B
VID_23155,1,797173.0,739.0,379.0,67.0,2015-06-22,PT1M30S,H
VID_10691,1,539.0,0.0,0.0,0.0,2015-03-02,PT2M2S,D
VID_17370,7,37147.0,234.0,9.0,4.0,2016-08-08,PT2M29S,E
VID_3766,238,1760531.0,2220.0,401.0,151.0,2013-08-21,PT4M18S,D
VID_8354,1,150554.0,304.0,39.0,47.0,2015-09-01,PT4M24S,D
VID_19847,4,11678.0,25.0,0.0,1.0,2010-10-02,PT10M,G
VID_6432,3,437404.0,1081.0,79.0,42.0,2013-12-16,PT30M45S,D
VID_10724,7,368.0,0.0,1.0,0.0,2016-04-14,PT21S,D
VID_16202,1,343728.0,488.0,75.0,74.0,2015-05-15,PT1H52M37S,E
VID_15591,1,11226.0,34.0,3.0,0.0,2016-08-03,PT2M45S,E
VID_14455,2,60994.0,78.0,16.0,12.0,2013-02-02,PT1M18S,D
VID_11748,1,4834.0,0.0,0.0,0.0,2016-04-18,PT2H23M38S,D
VID_7727,21614,36728.0,768.0,6.0,14.0,2016-11-24,PT2M56S,D
VID_6234,7,650504.0,1667.0,94.0,43.0,2013-12-29,PT6M12S,D
VID_3136,3,770809.0,582.0,227.0,69.0,2016-07-19,PT10M37S,D
VID_20751,2,35171.0,383.0,5.0,60.0,2012-07-06,PT6M6S,G
VID_16755,5,835520.0,7128.0,367.0,1194.0,2016-08-12,PT53M50S,E
VID_15245,1,215305.0,238.0,53.0,74.0,2014-11-07,PT4M12S,E
VID_5084,6,1107051.0,1421.0,134.0,47.0,2013-12-03,PT46S,D
VID_15027,1,92.0,1.0,0.0,0.0,2014-04-04,PT4M40S,D
VID_11428,22,132515.0,442.0,49.0,146.0,2015-09-25,PT7M21S,D
VID_20252,1,2631.0,14.0,1.0,3.0,2014-01-02,PT13M26S,G
VID_3921,8,460207.0,826.0,94.0,24.0,2013-02-07,PT4M36S,D
VID_2698,1,66676.0,277.0,10.0,18.0,2015-05-08,PT17M30S,C
VID_1645,2210,2551.0,0.0,0.0,2.0,2013-06-05,PT1M16S,B
VID_1572,191,791067.0,7285.0,378.0,799.0,2017-01-28,PT6M53S,B
VID_6135,1,25886.0,88.0,5.0,6.0,2014-01-06,PT6M2S,D
VID_17495,1,366630.0,260.0,142.0,13.0,2015-09-11,PT1M54S,E
VID_14762,1,1138910.0,2919.0,817.0,628.0,2014-02-14,PT1M9S,D
VID_15200,1,1517387.0,4557.0,237.0,407.0,2014-06-25,PT2M50S,E
VID_20232,9,113411.0,195.0,24.0,34.0,2013-07-21,PT19M35S,G
VID_12917,3,49113.0,587.0,15.0,131.0,2013-05-27,PT3M,D
VID_15774,4,929267.0,349.0,104.0,24.0,2011-02-11,PT2H23M2S,E
VID_13397,1,161673.0,241.0,12.0,145.0,2006-11-02,PT3M4S,D
VID_147,1,40771.0,481.0,13.0,59.0,2016-12-02,PT2M40S,A
VID_6661,2,95077.0,249.0,16.0,86.0,2014-03-25,PT13M44S,D
VID_23384,1,1188997.0,2323.0,244.0,1278.0,2016-08-29,PT9M54S,H
VID_18355,1,544614.0,9149.0,52.0,474.0,2016-02-25,PT2M59S,F
VID_34,2,555270.0,971.0,61.0,162.0,2014-07-15,PT10M25S,A
VID_21258,1,127370.0,106.0,170.0,57.0,2012-09-10,PT5M41S,G
VID_7262,3,769740.0,1125.0,301.0,52.0,2015-12-12,PT2H33M8S,D
VID_15563,1,320097.0,401.0,87.0,26.0,2015-05-29,PT2M4S,E
VID_1891,471,1017837.0,47134.0,286.0,1785.0,2014-04-18,PT10M54S,B
VID_19205,1,259096.0,722.0,58.0,47.0,2015-10-11,PT5M11S,G
VID_8453,1,37708.0,112.0,3.0,5.0,2016-05-27,PT1M36S,D
VID_15772,11,2287062.0,2088.0,545.0,111.0,2014-08-27,PT1H27M46S,E
VID_6073,1,578.0,0.0,1.0,0.0,2013-11-16,PT6M57S,D
VID_1082,12,3383658.0,20552.0,1347.0,4722.0,2016-04-30,PT9M42S,B
VID_124,1,122309.0,485.0,24.0,44.0,2015-01-09,PT7M56S,A
VID_5291,5,165692.0,93.0,10.0,8.0,2011-11-08,PT16S,D
VID_13683,1,35552.0,103.0,12.0,17.0,2017-02-07,PT16M34S,D
VID_18721,4,210091.0,5475.0,222.0,642.0,2016-06-19,PT8M24S,F
VID_11973,1,80852.0,487.0,15.0,67.0,2016-12-05,PT2M57S,D
VID_2386,1,182838.0,1271.0,33.0,101.0,2015-07-30,PT23M1S,C
VID_4386,1,174770.0,47.0,29.0,2.0,2013-11-24,PT1M3S,D
VID_21410,2,61745.0,360.0,13.0,33.0,2012-08-21,PT2M50S,G
VID_7940,9,173389.0,190.0,14.0,21.0,2012-10-11,PT1M32S,D
VID_9401,4,213274.0,1456.0,117.0,161.0,2016-09-16,PT10M31S,D
VID_13030,8,6437.0,8.0,2.0,1.0,2014-04-18,PT3M41S,D
VID_11603,2,451634.0,4494.0,452.0,330.0,2014-12-15,PT4M33S,D
VID_3439,8,451701.0,736.0,113.0,54.0,2012-07-18,PT1H15M8S,D
VID_1983,16,64627.0,111.0,5.0,7.0,2013-12-18,PT2M42S,B
VID_1075,92782,994350.0,10883.0,269.0,1625.0,2016-09-22,PT6M12S,B
VID_11837,913,73858.0,1397.0,16.0,117.0,2016-04-29,PT14M56S,D
VID_17247,1,475.0,4.0,1.0,0.0,2013-07-16,PT7M49S,E
VID_5494,1,201567.0,1820.0,33.0,58.0,2015-05-06,PT13M10S,D
VID_19581,1,7359.0,25.0,4.0,1.0,2012-07-18,PT16M1S,G
VID_11333,1,4918.0,4.0,1.0,0.0,2016-02-25,PT31S,D
VID_9019,12,2924037.0,15147.0,919.0,1118.0,2015-04-25,PT54M56S,D
VID_12608,2,1161919.0,685.0,230.0,59.0,2016-07-16,PT14M35S,D
VID_22017,1,78137.0,1440.0,38.0,300.0,2014-12-31,PT2M28S,G
VID_9590,4,4159.0,10.0,0.0,2.0,2014-11-04,PT2M,D
VID_15394,1,300603.0,936.0,117.0,836.0,2016-04-22,PT11M17S,E
VID_22505,2,2842181.0,7122.0,596.0,187.0,2016-01-22,PT3M46S,G
VID_22542,1,15242.0,31.0,17.0,2.0,2013-10-08,PT53S,G
VID_15828,2,72040.0,152.0,17.0,17.0,2014-11-27,PT1H43M18S,E
VID_11050,7,3502308.0,7062.0,716.0,219.0,2014-06-06,PT57S,D
VID_14559,1,51841.0,183.0,8.0,24.0,2014-01-22,PT21M37S,D
VID_304,1,522447.0,14577.0,449.0,1243.0,2016-07-20,PT29M12S,A
VID_17350,8,21650.0,37.0,4.0,3.0,2015-10-23,PT2M32S,E
VID_555,11,197430.0,482.0,29.0,31.0,2013-12-18,PT11M28S,B
VID_22072,18,522846.0,2606.0,28.0,632.0,2010-10-24,PT2M35S,G
VID_20595,3,6711.0,31.0,1.0,6.0,2013-08-22,PT5M42S,G
VID_977,2,314985.0,1668.0,206.0,1099.0,2016-07-15,PT11M7S,B
VID_13136,42,201460.0,340.0,26.0,34.0,2013-03-20,PT3M46S,D
VID_21785,2,2739797.0,8869.0,284.0,875.0,2013-06-15,PT41M56S,G
VID_17071,1,658.0,3.0,1.0,1.0,2016-09-05,PT11M52S,E
VID_19887,4,10911.0,35.0,6.0,3.0,2011-02-04,PT11M15S,G
VID_11581,2,1227231.0,7101.0,4607.0,1901.0,2016-06-14,PT5M16S,D
VID_23159,8,1663486.0,3908.0,532.0,235.0,2016-08-29,PT4M35S,H
VID_6148,2,646333.0,1418.0,92.0,38.0,2014-06-07,PT4M37S,D
VID_657,1,220033.0,1025.0,189.0,575.0,2016-07-23,PT4M33S,B
VID_14705,4,511438.0,5855.0,529.0,314.0,2016-08-02,PT4M27S,D
VID_22336,1,243009.0,821.0,7.0,85.0,2010-09-24,PT4M52S,G
VID_3264,1,433724.0,701.0,45.0,10.0,2016-09-24,PT10M3S,D
VID_4874,1,399467.0,1048.0,180.0,145.0,2012-06-13,PT2H22M3S,D
VID_373,1,72049.0,1859.0,31.0,671.0,2016-09-09,PT8M27S,A
VID_3254,6,261614.0,121.0,78.0,19.0,2012-08-28,PT39M37S,D
VID_4827,2,35862.0,50.0,2.0,2.0,2014-04-28,PT17M2S,D
VID_4354,4,1114667.0,525.0,305.0,23.0,2016-04-15,PT2M33S,D
VID_3235,14,560652.0,1016.0,196.0,95.0,2013-10-21,PT22M40S,D
VID_21408,16,4417750.0,21212.0,6067.0,1527.0,2015-07-01,PT5M2S,G
VID_2887,2,80668.0,631.0,25.0,76.0,2015-02-18,PT4M35S,C
VID_17439,1,4852.0,43.0,0.0,33.0,2015-12-15,PT17M57S,E
VID_14987,1687,171448.0,149.0,4.0,44.0,2016-07-28,PT19M24S,D
VID_10179,7,632.0,4.0,0.0,0.0,2016-10-19,PT21S,D
VID_21461,10,1341876.0,2191.0,105.0,206.0,2010-10-06,PT3M22S,G
VID_1443,4,6650767.0,61792.0,740.0,4780.0,2015-04-29,PT5M45S,B
VID_19943,1,46944.0,152.0,27.0,23.0,2013-11-01,PT1H31M8S,G
VID_11255,3,16230.0,749.0,40.0,195.0,2016-12-21,PT7M8S,D
VID_3083,6,43861.0,231.0,5.0,25.0,2013-11-04,PT4M,C
VID_18500,5,425953.0,6513.0,206.0,1312.0,2016-08-24,PT6M49S,F
VID_7038,1,209081.0,124.0,39.0,6.0,2015-06-26,PT1H59M39S,D
VID_2044,1,3787.0,132.0,9.0,45.0,2013-08-25,PT2M34S,B
VID_653,1,715738.0,4569.0,138.0,556.0,2015-01-08,PT3M34S,B
VID_10698,1,1041.0,2.0,1.0,1.0,2016-12-30,PT1M1S,D
VID_12708,11,1185443.0,13544.0,3457.0,3561.0,2016-08-14,PT7M28S,D
VID_19397,25,787026.0,1873.0,308.0,171.0,2012-10-21,PT19M40S,G
VID_13062,1,491738.0,817.0,115.0,76.0,2016-02-27,PT2H30M4S,D
VID_6480,3,87604.0,125.0,11.0,5.0,2012-01-02,PT8M3S,D
VID_225,25,143266.0,320.0,21.0,66.0,2013-05-13,PT2M41S,A
VID_1301,17,2718145.0,31101.0,645.0,5071.0,2016-02-12,PT7M26S,B
VID_16739,1,73427.0,1806.0,7.0,336.0,2016-06-19,PT13M39S,E
VID_11305,2,30259.0,454.0,32.0,274.0,2016-05-07,PT4M21S,D
VID_19820,2,39803.0,220.0,5.0,8.0,2010-12-20,PT16M36S,G
VID_5423,7,142533.0,452.0,19.0,27.0,2016-03-16,PT12M10S,D
VID_4211,4,223879.0,254.0,25.0,15.0,2010-11-02,PT9M7S,D
VID_18594,2,35810.0,673.0,5.0,38.0,2015-04-01,PT10M51S,F
VID_5169,5,1895040.0,6084.0,644.0,172.0,2016-09-27,PT4M6S,D
VID_1195,1,656479.0,4473.0,502.0,865.0,2016-06-01,PT3M2S,B
VID_111,1,359093.0,1431.0,48.0,268.0,2014-07-18,PT6M41S,A
VID_17206,1,312793.0,1470.0,83.0,572.0,2016-04-19,PT4M4S,E
VID_23337,5,4419311.0,3204.0,1322.0,185.0,2015-07-26,PT3M43S,H
VID_906,1,19212.0,104.0,4.0,8.0,2012-11-28,PT3M15S,B
VID_21347,2,1381.0,32.0,2.0,3.0,2014-12-18,PT3M24S,G
VID_20890,8,138050.0,443.0,63.0,39.0,2014-05-12,PT1H17M9S,G
VID_13694,1,80088.0,105.0,5.0,29.0,2015-12-08,PT9M2S,D
VID_7202,3,99819.0,43.0,13.0,5.0,2016-06-24,PT2M35S,D
VID_17492,7,627292.0,2329.0,230.0,229.0,2016-04-11,PT8M25S,E
VID_10839,2929,4139.0,65.0,0.0,26.0,2017-03-31,PT4M14S,D
VID_16468,14,899472.0,7864.0,122.0,1337.0,2013-02-02,PT2M46S,E
VID_23066,1,217276.0,503.0,88.0,121.0,2016-03-10,PT15M3S,H
VID_21030,16,3949469.0,25566.0,1358.0,4255.0,2012-03-20,PT6M9S,G
VID_2159,1,8846.0,137.0,3.0,7.0,2016-08-19,PT1M39S,C
VID_22902,1,563.0,4.0,0.0,4.0,2014-10-20,PT9M15S,G
VID_19182,19,303874.0,135.0,43.0,9.0,2013-08-29,PT16M23S,G
VID_15471,3,283387.0,224.0,27.0,3.0,2015-06-26,PT30M21S,E
VID_585,11,51384.0,132.0,6.0,12.0,2014-02-18,PT14M4S,B
VID_2992,8,2462561.0,1771.0,664.0,90.0,2016-06-28,PT3M13S,C
VID_15793,1,15930.0,7.0,4.0,0.0,2014-01-07,PT15M13S,E
VID_12188,1,3096.0,69.0,1.0,5.0,2015-11-22,PT6M55S,D
VID_20700,1,21341.0,422.0,6.0,86.0,2014-02-06,PT7M11S,G
VID_8927,3,371314.0,2765.0,198.0,660.0,2015-07-06,PT3M37S,D
VID_11956,1,14161.0,181.0,2.0,6.0,2016-08-20,PT3M48S,D
VID_9288,1,42318.0,113.0,6.0,10.0,2015-11-19,PT3M33S,D
VID_9337,1,38210.0,43.0,5.0,0.0,2013-09-12,PT1M56S,D
VID_11102,4,1430600.0,13867.0,347.0,741.0,2015-09-25,PT9M47S,D
VID_15932,1,64466.0,161.0,13.0,23.0,2015-07-06,PT2H9M59S,E
VID_16388,3,63015.0,363.0,15.0,42.0,2016-07-20,PT1M23S,E
VID_146,1,455101.0,2260.0,77.0,451.0,2015-09-11,PT8M30S,A
VID_19677,1,129869.0,787.0,49.0,12.0,2015-04-07,PT5M31S,G
VID_11,1,43032.0,79.0,3.0,48.0,2015-11-03,PT3M48S,A
VID_6589,7,1020381.0,3007.0,769.0,2672.0,2016-06-10,PT11M11S,D
VID_18747,1,8682.0,26.0,2.0,2.0,2014-09-19,PT5M56S,F
VID_11044,2,2708891.0,127170.0,2398.0,852.0,2015-11-20,PT3M44S,D
VID_3564,1,52198.0,175.0,9.0,4.0,2012-04-04,PT4M49S,D
VID_13886,1,45163.0,249.0,557.0,901.0,2011-06-23,PT14M24S,D
VID_2244,1,23062.0,83.0,6.0,5.0,2013-07-05,PT1M38S,C
VID_22453,19,4033136.0,14200.0,307.0,1390.0,2015-06-02,PT4M6S,G
VID_23043,2,966367.0,2077.0,422.0,644.0,2013-08-12,PT12M42S,H
