vidid,views,likes,dislikes,comment,published,duration,category
VID_21379,4030043,F,F,572,15-01-2015,PT1H45M28S,G
VID_2356,242916,272,123,F,15-07-2016,PT6M51S,C
VID_9230,385775,545,275,F,02-02-2017,PT1M43S,D
VID_13750,171293,F,F,14,13-07-2016,PT7M59S,D
VID_9129,77895,F,F,1,09-07-2015,PT2M8S,D
VID_16407,2651,F,F,0,06-08-2015,PT16S,E
VID_2412,6666,5,4,F,03-08-2016,PT11M34S,C
VID_5763,525711,1943,52,F,17-01-2015,PT3M59S,D
VID_2503,57536,32,15,F,12-01-2016,PT15M30S,C
VID_13615,491535,F,F,0,06-04-2017,PT31S,D
VID_13195,32458,36,3,F,13-08-2016,PT2H25M27S,D
VID_2442,5251,2,1,F,04-07-2015,PT1H41S,C
VID_7153,860768,729,1001,F,24-08-2016,PT2M16S,D
VID_23260,296426,282,51,F,03-03-2014,PT18M51S,H
VID_11382,821468,462,268,F,31-05-2016,PT30M50S,D
VID_20932,3488340,F,F,121,02-02-2017,PT1H3M39S,G
VID_13631,89346,F,F,0,14-11-2016,PT31S,D
VID_13754,24326,F,F,0,10-09-2016,PT2M44S,D
VID_2499,511258,236,89,F,10-07-2015,PT30M57S,C
VID_2490,1749,0,0,F,28-07-2016,PT14M2S,C
VID_9231,2209941,2194,1663,F,23-12-2016,PT1M39S,D
VID_16542,2447381,2199,705,F,05-06-2016,PT2H21M57S,E
VID_18797,4776,F,F,0,12-04-2013,PT1M27S,F
VID_16535,662373,592,162,F,19-04-2016,PT2H15M37S,E
VID_16543,1344410,1229,397,F,15-02-2016,PT2H20M23S,E
VID_2416,3367,2,2,F,19-07-2016,PT30M44S,C
VID_2436,4334780,5355,3016,F,03-09-2016,PT10M28S,C
VID_2345,354005,249,118,F,24-05-2016,PT30M3S,C
VID_11351,198665,111,63,F,08-08-2016,PT11M12S,D
VID_13664,8813,F,F,F,08-03-2016,PT21S,D
VID_16549,925011,786,231,F,21-02-2016,PT2H18M38S,E
VID_11367,127775,103,45,F,23-08-2016,PT8M57S,D
VID_15012,2867358,F,F,F,06-06-2014,PT2M50S,D
VID_1391,24254,96,6,F,11-07-2013,PT4M29S,B
VID_16540,1551851,993,283,F,27-02-2016,PT2H31M59S,E
VID_18952,1544,F,F,9,03-12-2013,PT2M24S,F
VID_7222,2106659,F,F,260,26-12-2016,PT3M22S,D
VID_8314,133226,F,F,F,14-11-2014,PT2H17M59S,D
VID_9229,3957861,3112,1897,F,21-10-2016,PT1M30S,D
VID_2357,1066562,706,320,F,09-07-2015,PT4M16S,C
VID_13724,9358,F,F,0,11-10-2016,PT4M2S,D
VID_11385,1629810,1209,756,F,17-05-2016,PT8M22S,D
VID_2342,1742451,897,473,F,04-12-2015,PT9M32S,C
VID_11392,247997,178,97,F,03-09-2016,PT11M45S,D
VID_17964,1121258,7750,3992,F,18-04-2016,PT1M52S,F
VID_540,11557,19,18,F,10-01-2016,PT30M50S,A
VID_1367,32491,179,9,F,25-12-2013,PT5M58S,B
VID_17981,980144,9399,3205,F,22-08-2016,PT3M53S,F
VID_23042,336480,F,F,12,28-04-2015,PT21M28S,H
VID_2444,7072,7,5,F,20-07-2016,PT20M1S,C
VID_16557,1165127,1274,457,F,14-05-2016,PT2H21M25S,E
VID_18796,36390,F,F,4,02-07-2012,PT1M36S,F
VID_13654,8976,F,F,0,18-11-2016,PT11S,D
VID_2526,1579880,757,384,F,08-10-2015,PT3M38S,C
VID_13672,95026,F,F,2,16-11-2016,PT31S,D
VID_2510,14733,7,5,F,04-07-2015,PT1H9S,C
VID_20004,1442,F,F,F,17-03-2015,PT42M46S,G
VID_23076,1165805,F,F,44,22-04-2015,PT6M14S,H
VID_11394,1517380,1061,668,F,25-04-2016,PT14M24S,D
VID_12555,147451,176,37,F,29-04-2016,PT2H15M19S,D
VID_14200,2556148,F,F,343,09-03-2014,PT14M28S,D
VID_20018,613,F,F,F,29-06-2015,PT43M50S,G
VID_16547,1750413,1813,374,F,02-11-2015,PT2H11M26S,E
VID_2339,7767,8,0,F,30-09-2016,PT30M2S,C
VID_23059,3429064,F,F,F,29-11-2014,PT20M13S,H
VID_13635,360,F,F,0,29-08-2016,PT41S,D
VID_2440,115961,79,34,F,13-07-2016,PT31M51S,C
VID_20009,14621,F,F,F,11-04-2015,PT46M12S,G
VID_2504,268157,129,59,F,26-09-2015,PT1H42S,C
VID_16531,1478317,1258,356,F,30-05-2016,PT2H22M38S,E
VID_21284,2158270,F,F,1240,05-01-2014,PT4M15S,G
VID_2445,16836,6,3,F,27-06-2015,PT29M43S,C
VID_16532,813990,1236,209,F,30-11-2016,PT2H27M32S,E
VID_10183,2231,F,F,0,22-12-2016,PT21S,D
VID_18805,53492,F,F,2,27-03-2014,PT2M1S,F
VID_23068,26032,F,F,1,09-11-2014,PT1M24S,H
VID_2500,2711,1,4,F,03-08-2015,PT7M32S,C
VID_13598,549,F,F,F,15-06-2016,PT31S,D
VID_13716,30558,F,F,F,27-09-2016,PT3M25S,D
VID_4335,1017386,2114,649,F,08-04-2016,PT2M57S,D
VID_13746,60623,F,F,0,26-09-2016,PT5M18S,D
VID_13737,35492,F,F,8,24-10-2016,PT3M28S,D
VID_16538,1174665,1084,248,F,27-10-2016,PT2H7M57S,E
VID_23087,700491,F,F,176,09-03-2015,PT10M55S,H
VID_2364,59912,39,19,F,24-08-2016,PT15M17S,C
VID_13362,2220954,7457,565,F,03-08-2016,PT47M42S,D
VID_18802,17104,F,F,1,19-04-2013,PT6M26S,F
VID_2428,2032559,2255,1171,F,07-09-2016,PT25M56S,C
VID_13658,29819,F,F,1,02-12-2016,PT31S,D
VID_23251,103209,116,18,F,10-01-2015,PT3M16S,H
VID_2346,74734,44,12,F,26-08-2016,PT15M35S,C
VID_2362,97149,77,28,F,18-08-2016,PT15M42S,C
VID_2426,13729,15,5,F,12-09-2016,PT15M25S,C
VID_2441,15960,5,1,F,04-07-2015,PT12M4S,C
VID_5768,527950,2613,153,F,04-11-2015,PT7M25S,D
VID_19999,4656,F,F,F,16-04-2015,PT43M48S,G
VID_16551,1082872,941,232,F,13-02-2016,PT2H2M36S,E
VID_2360,18109,16,4,F,07-03-2016,PT10M2S,C
VID_20398,67274,F,F,26,03-11-2009,PT2M27S,G
VID_11393,238666,155,80,F,23-08-2016,PT15M10S,D
VID_13194,34076,37,9,F,01-03-2017,PT2H26M1S,D
VID_13758,139778,F,F,13,06-09-2016,PT4M13S,D
VID_23246,509665,140,85,F,16-11-2014,PT1M33S,H
VID_23248,389522,179,81,F,16-11-2014,PT2M15S,H
VID_8278,50647,F,F,F,08-10-2014,PT6M19S,D
VID_23199,75154,467,28,F,13-01-2017,PT5M45S,H
VID_2524,138551,59,36,F,20-06-2015,PT59M39S,C
VID_15072,10137,F,F,F,22-02-2015,PT14M31S,D
VID_2506,745574,324,165,F,13-11-2015,PT1M44S,C
VID_23060,90468,F,F,16,10-03-2015,PT8M11S,H
VID_12984,5459,4,0,F,27-08-2016,PT1M37S,D
VID_23092,540765,F,F,F,10-11-2014,PT15M57S,H
VID_23079,2166,F,F,0,15-05-2015,PT23M26S,H
VID_2523,783649,346,167,F,25-08-2015,PT7M50S,C
VID_2425,8130,2,3,F,27-06-2015,PT1H23S,C
VID_2338,41104,37,22,F,03-08-2016,PT10M54S,C
VID_18434,326011,836,791,F,18-04-2013,PT4M42S,F
VID_8281,29048,F,F,F,14-11-2014,PT2H18M55S,D
VID_13612,361,F,F,F,13-04-2016,PT11S,D
VID_4455,213582,F,F,F,15-10-2014,PT56M54S,D
VID_2367,27601,15,6,F,18-06-2016,PT1H29S,C
VID_23233,40781,F,F,29,07-02-2015,PT53M11S,H
VID_2355,18396,16,4,F,15-07-2016,PT1H40S,C
VID_2699,214,0,0,F,20-10-2016,PT30M7S,C
VID_11371,996580,580,265,F,28-07-2016,PT16M28S,D
VID_2516,52996,55,25,F,23-12-2015,PT15M5S,C
VID_13632,88694,F,F,2,14-11-2016,PT31S,D
VID_13671,778,F,F,0,16-12-2016,PT31S,D
VID_23261,2584,4,0,F,01-04-2014,PT10M5S,H
VID_2488,564097,255,132,F,26-02-2016,PT7M33S,C
VID_23252,21893,67,1,F,13-10-2014,PT4M41S,H
VID_18598,5008,F,F,1,18-08-2016,PT1M31S,F
VID_2458,6788,61,5,F,23-01-2015,PT23M12S,C
VID_8351,1057770,1621,1880,F,18-01-2017,PT1M48S,D
VID_18430,29305,111,13,F,28-10-2015,PT3M37S,F
